Source Language,Source Word,Target Language,Translated Word
French,bonjour,Hungarian,helló
French,au revoir,Hungarian,viszlát
French,s'il vous plaît,Hungarian,kérem
French,merci,Hungarian,köszönöm
French,oui,Hungarian,igen
French,non,Hungarian,nem
French,homme,Hungarian,férfi
French,femme,Hungarian,nő
French,enfant,Hungarian,gyerek
French,eau,Hungarian,víz
French,nourriture,Hungarian,étel
French,maison,Hungarian,ház
French,voiture,Hungarian,autó
French,école,Hungarian,iskola
French,livre,Hungarian,könyv
French,ordinateur,Hungarian,számítógép
French,ami,Hungarian,barát
French,ville,Hungarian,város
French,amour,Hungarian,szerelem
French,argent,Hungarian,pénz
