Source Language,Source Word,Target Language,Translated Word
French,bonjour,German,hallo
French,au revoir,German,auf Wiedersehen
French,s'il vous plaît,German,bitte
French,merci,German,danke
French,oui,German,ja
French,non,German,nein
French,homme,German,Mann
French,femme,German,Frau
French,enfant,German,Kind
French,eau,German,Wasser
French,nourriture,German,Essen
French,maison,German,Haus
French,voiture,German,Auto
French,école,German,Schule
French,livre,German,Buch
French,ordinateur,German,Computer
French,ami,German,Freund
French,ville,German,Stadt
French,amour,German,Liebe
French,argent,German,Geld
