Source Language,Source Word,Target Language,Translated Word
Hungarian,helló,Arabic,مرحبا
Hungarian,viszlát,Arabic,مع السلامة
Hungarian,kérem,Arabic,من فضلك
Hungarian,köszönöm,Arabic,شكرا
Hungarian,igen,Arabic,نعم
Hungarian,nem,Arabic,لا
Hungarian,férfi,Arabic,رجل
Hungarian,nő,Arabic,امرأة
Hungarian,gyerek,Arabic,طفل
Hungarian,víz,Arabic,ماء
Hungarian,étel,Arabic,طعام
Hungarian,ház,Arabic,منزل
Hungarian,autó,Arabic,سيارة
Hungarian,iskola,Arabic,مدرسة
Hungarian,könyv,Arabic,كتاب
Hungarian,számítógép,Arabic,حاسوب
Hungarian,barát,Arabic,صديق
Hungarian,város,Arabic,مدينة
Hungarian,szerelem,Arabic,حب
Hungarian,pénz,Arabic,مال
