Source Language,Source Word,Target Language,Translated Word
German,hallo,French,bonjour
German,auf Wiedersehen,French,au revoir
German,bitte,French,s'il vous plaît
German,danke,French,merci
German,ja,French,oui
German,nein,French,non
German,Mann,French,homme
German,Frau,French,femme
German,Kind,French,enfant
German,Wasser,French,eau
German,Essen,French,nourriture
German,Haus,French,maison
German,Auto,French,voiture
German,Schule,French,école
German,Buch,French,livre
German,Computer,French,ordinateur
German,Freund,French,ami
German,Stadt,French,ville
German,Liebe,French,amour
German,Geld,French,argent
