Source Language,Source Word,Target Language,Translated Word
Arabic,مرحبا,German,hallo
Arabic,مع السلامة,German,auf Wiedersehen
Arabic,من فضلك,German,bitte
Arabic,شكرا,German,danke
Arabic,نعم,German,ja
Arabic,لا,German,nein
Arabic,رجل,German,Mann
Arabic,امرأة,German,Frau
Arabic,طفل,German,Kind
Arabic,ماء,German,Wasser
Arabic,طعام,German,Essen
Arabic,منزل,German,Haus
Arabic,سيارة,German,Auto
Arabic,مدرسة,German,Schule
Arabic,كتاب,German,Buch
Arabic,حاسوب,German,Computer
Arabic,صديق,German,Freund
Arabic,مدينة,German,Stadt
Arabic,حب,German,Liebe
Arabic,مال,German,Geld
