Source Language,Source Word,Target Language,Translated Word
Hungarian,helló,English,hello
Hungarian,viszlát,English,goodbye
Hungarian,kérem,English,please
Hungarian,köszönöm,English,thank you
Hungarian,igen,English,yes
Hungarian,nem,English,no
Hungarian,férfi,English,man
Hungarian,nő,English,woman
Hungarian,gyerek,English,child
Hungarian,víz,English,water
Hungarian,étel,English,food
Hungarian,ház,English,house
Hungarian,autó,English,car
Hungarian,iskola,English,school
Hungarian,könyv,English,book
Hungarian,számítógép,English,computer
Hungarian,barát,English,friend
Hungarian,város,English,city
Hungarian,szerelem,English,love
Hungarian,pénz,English,money
