Source Language,Source Word,Target Language,Translated Word
German,hallo,English,hello
German,auf Wiedersehen,English,goodbye
German,bitte,English,please
German,danke,English,thank you
German,ja,English,yes
German,nein,English,no
German,Mann,English,man
German,Frau,English,woman
German,Kind,English,child
German,Wasser,English,water
German,Essen,English,food
German,Haus,English,house
German,Auto,English,car
German,Schule,English,school
German,Buch,English,book
German,Computer,English,computer
German,Freund,English,friend
German,Stadt,English,city
German,Liebe,English,love
German,Geld,English,money
