Source Language,Source Word,Target Language,Translated Word
Arabic,مرحبا,French,bonjour
Arabic,مع السلامة,French,au revoir
Arabic,من فضلك,French,s'il vous plaît
Arabic,شكرا,French,merci
Arabic,نعم,French,oui
Arabic,لا,French,non
Arabic,رجل,French,homme
Arabic,امرأة,French,femme
Arabic,طفل,French,enfant
Arabic,ماء,French,eau
Arabic,طعام,French,nourriture
Arabic,منزل,French,maison
Arabic,سيارة,French,voiture
Arabic,مدرسة,French,école
Arabic,كتاب,French,livre
Arabic,حاسوب,French,ordinateur
Arabic,صديق,French,ami
Arabic,مدينة,French,ville
Arabic,حب,French,amour
Arabic,مال,French,argent
