Source Language,Source Word,Target Language,Translated Word
Hungarian,helló,German,hallo
Hungarian,viszlát,German,auf Wiedersehen
Hungarian,kérem,German,bitte
Hungarian,köszönöm,German,danke
Hungarian,igen,German,ja
Hungarian,nem,German,nein
Hungarian,férfi,German,Mann
Hungarian,nő,German,Frau
Hungarian,gyerek,German,Kind
Hungarian,víz,German,Wasser
Hungarian,étel,German,Essen
Hungarian,ház,German,Haus
Hungarian,autó,German,Auto
Hungarian,iskola,German,Schule
Hungarian,könyv,German,Buch
Hungarian,számítógép,German,Computer
Hungarian,barát,German,Freund
Hungarian,város,German,Stadt
Hungarian,szerelem,German,Liebe
Hungarian,pénz,German,Geld
