Source Language,Source Word,Target Language,Translated Word
German,hallo,Arabic,مرحبا
German,auf Wiedersehen,Arabic,مع السلامة
German,bitte,Arabic,من فضلك
German,danke,Arabic,شكرا
German,ja,Arabic,نعم
German,nein,Arabic,لا
German,Mann,Arabic,رجل
German,Frau,Arabic,امرأة
German,Kind,Arabic,طفل
German,Wasser,Arabic,ماء
German,Essen,Arabic,طعام
German,Haus,Arabic,منزل
German,Auto,Arabic,سيارة
German,Schule,Arabic,مدرسة
German,Buch,Arabic,كتاب
German,Computer,Arabic,حاسوب
German,Freund,Arabic,صديق
German,Stadt,Arabic,مدينة
German,Liebe,Arabic,حب
German,Geld,Arabic,مال
