Source Language,Source Word,Target Language,Translated Word
English,hello,German,hallo
English,goodbye,German,auf Wiedersehen
English,please,German,bitte
English,thank you,German,danke
English,yes,German,ja
English,no,German,nein
English,man,German,Mann
English,woman,German,Frau
English,child,German,Kind
English,water,German,Wasser
English,food,German,Essen
English,house,German,Haus
English,car,German,Auto
English,school,German,Schule
English,book,German,Buch
English,computer,German,Computer
English,friend,German,Freund
English,city,German,Stadt
English,love,German,Liebe
English,money,German,Geld
