Source Language,Source Word,Target Language,Translated Word
French,bonjour,Arabic,مرحبا
French,au revoir,Arabic,مع السلامة
French,s'il vous plaît,Arabic,من فضلك
French,merci,Arabic,شكرا
French,oui,Arabic,نعم
French,non,Arabic,لا
French,homme,Arabic,رجل
French,femme,Arabic,امرأة
French,enfant,Arabic,طفل
French,eau,Arabic,ماء
French,nourriture,Arabic,طعام
French,maison,Arabic,منزل
French,voiture,Arabic,سيارة
French,école,Arabic,مدرسة
French,livre,Arabic,كتاب
French,ordinateur,Arabic,حاسوب
French,ami,Arabic,صديق
French,ville,Arabic,مدينة
French,amour,Arabic,حب
French,argent,Arabic,مال
