Source Language,Source Word,Target Language,Translated Word
Arabic,مرحبا,English,hello
Arabic,مع السلامة,English,goodbye
Arabic,من فضلك,English,please
Arabic,شكرا,English,thank you
Arabic,نعم,English,yes
Arabic,لا,English,no
Arabic,رجل,English,man
Arabic,امرأة,English,woman
Arabic,طفل,English,child
Arabic,ماء,English,water
Arabic,طعام,English,food
Arabic,منزل,English,house
Arabic,سيارة,English,car
Arabic,مدرسة,English,school
Arabic,كتاب,English,book
Arabic,حاسوب,English,computer
Arabic,صديق,English,friend
Arabic,مدينة,English,city
Arabic,حب,English,love
Arabic,مال,English,money
