Source Language,Source Word,Target Language,Translated Word
English,hello,Arabic,مرحبا
English,goodbye,Arabic,مع السلامة
English,please,Arabic,من فضلك
English,thank you,Arabic,شكرا
English,yes,Arabic,نعم
English,no,Arabic,لا
English,man,Arabic,رجل
English,woman,Arabic,امرأة
English,child,Arabic,طفل
English,water,Arabic,ماء
English,food,Arabic,طعام
English,house,Arabic,منزل
English,car,Arabic,سيارة
English,school,Arabic,مدرسة
English,book,Arabic,كتاب
English,computer,Arabic,حاسوب
English,friend,Arabic,صديق
English,city,Arabic,مدينة
English,love,Arabic,حب
English,money,Arabic,مال
