Source Language,Source Word,Target Language,Translated Word
German,hallo,Hungarian,helló
German,auf Wiedersehen,Hungarian,viszlát
German,bitte,Hungarian,kérem
German,danke,Hungarian,köszönöm
German,ja,Hungarian,igen
German,nein,Hungarian,nem
German,Mann,Hungarian,férfi
German,Frau,Hungarian,nő
German,Kind,Hungarian,gyerek
German,Wasser,Hungarian,víz
German,Essen,Hungarian,étel
German,Haus,Hungarian,ház
German,Auto,Hungarian,autó
German,Schule,Hungarian,iskola
German,Buch,Hungarian,könyv
German,Computer,Hungarian,számítógép
German,Freund,Hungarian,barát
German,Stadt,Hungarian,város
German,Liebe,Hungarian,szerelem
German,Geld,Hungarian,pénz
