Source Language,Source Word,Target Language,Translated Word
English,hello,French,bonjour
English,goodbye,French,au revoir
English,please,French,s'il vous plaît
English,thank you,French,merci
English,yes,French,oui
English,no,French,non
English,man,French,homme
English,woman,French,femme
English,child,French,enfant
English,water,French,eau
English,food,French,nourriture
English,house,French,maison
English,car,French,voiture
English,school,French,école
English,book,French,livre
English,computer,French,ordinateur
English,friend,French,ami
English,city,French,ville
English,love,French,amour
English,money,French,argent
