Source Language,Source Word,Target Language,Translated Word
Hungarian,helló,French,bonjour
Hungarian,viszlát,French,au revoir
Hungarian,kérem,French,s'il vous plaît
Hungarian,köszönöm,French,merci
Hungarian,igen,French,oui
Hungarian,nem,French,non
Hungarian,férfi,French,homme
Hungarian,nő,French,femme
Hungarian,gyerek,French,enfant
Hungarian,víz,French,eau
Hungarian,étel,French,nourriture
Hungarian,ház,French,maison
Hungarian,autó,French,voiture
Hungarian,iskola,French,école
Hungarian,könyv,French,livre
Hungarian,számítógép,French,ordinateur
Hungarian,barát,French,ami
Hungarian,város,French,ville
Hungarian,szerelem,French,amour
Hungarian,pénz,French,argent
