Source Language,Source Word,Target Language,Translated Word
French,bonjour,English,hello
French,au revoir,English,goodbye
French,s'il vous plaît,English,please
French,merci,English,thank you
French,oui,English,yes
French,non,English,no
French,homme,English,man
French,femme,English,woman
French,enfant,English,child
French,eau,English,water
French,nourriture,English,food
French,maison,English,house
French,voiture,English,car
French,école,English,school
French,livre,English,book
French,ordinateur,English,computer
French,ami,English,friend
French,ville,English,city
French,amour,English,love
French,argent,English,money
