Source Language,Source Word,Target Language,Translated Word
English,hello,Hungarian,helló
English,goodbye,Hungarian,viszlát
English,please,Hungarian,kérem
English,thank you,Hungarian,köszönöm
English,yes,Hungarian,igen
English,no,Hungarian,nem
English,man,Hungarian,férfi
English,woman,Hungarian,nő
English,child,Hungarian,gyerek
English,water,Hungarian,víz
English,food,Hungarian,étel
English,house,Hungarian,ház
English,car,Hungarian,autó
English,school,Hungarian,iskola
English,book,Hungarian,könyv
English,computer,Hungarian,számítógép
English,friend,Hungarian,barát
English,city,Hungarian,város
English,love,Hungarian,szerelem
English,money,Hungarian,pénz
